GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
85289,16.886639802343872,4.3491955664313675,3.126503913263419,1.3910731241950414,,
140458,23.711894235857454,4.346473676115152,1.3690525194307277,3.1748041908008613,,
100302522,185.74652159904178,4.336218574861902,0.9177618550037763,4.724775333840891,,
105374541,2.104672097991456,4.327403571350383,1.7610268765302772,2.4573183004887444,,
28441,2.133255215375981,4.325095508368288,2.486633535781315,1.73933772151485,0.08197537587689888,
170825,3.1421635866747324,4.320299758165615,2.622135980964754,1.6476261298149995,,
28926,139.52851760163776,4.317683838813664,1.3196945380871155,3.2717297179028297,0.0010689171103843884,0.036174449395341424
104564225,213.20834420429722,4.290225287375421,1.6046606361154379,2.6736028732911388,,
28906,85.64755536112156,4.2800804597223205,0.988958535718078,4.327866442463713,1.5056071737195387e-05,0.0033760627750982434
439996,40.835762917305566,4.266930247058305,1.0124417957191774,4.214494369058851,,
286,2214.3909586831705,4.248539291677798,1.0427990276365735,4.074168827436286,,
28383,20.89550026315846,4.2324351504210345,1.4075776341911503,3.0068928687213465,0.0026393276024072737,0.06151463757458133
167681,48.97318016480685,4.220751069238165,0.9791995374107222,4.310409582503493,,
90632,2.859251578985523,4.219539260721883,1.5671129505100323,2.6925559254351086,,
28888,15.953107925056552,4.2172689339894065,1.3630344419772258,3.0940296181157474,0.0019745777300173594,0.05351970110732481
632,109.00366325120926,4.211319820314735,0.8829266281283064,4.769727954906291,,
105375056,11.426919036775004,4.179825375586643,1.102511129241528,3.791186560141259,0.00014992927743615137,0.011223359718230054
100286906,1.9290346407171481,4.17929337781913,2.643164941633588,1.581170101036581,,
100873940,12.23827042379219,4.177216914964339,1.1104068667653249,3.7618795776477834,,
3792,502.0998780745931,4.173472787043796,0.8731460821726579,4.779810471873049,1.7546052145731139e-06,0.0010231531197722084
4635,35.75172820151663,4.173155487564089,0.9348006359231407,4.464219778202212,,
57016,2232.3878929652915,4.169106658301074,1.1264113591873965,3.701229239474916,,
28776,175.23636434536164,4.138288351553484,0.9718846099373771,4.258003788968459,2.0626045407855527e-05,0.00397470021557517
171558,16.901516192663447,4.12509460584812,0.8358439323046967,4.9352450217277735,8.005019886976378e-07,0.0007081895548191875
284434,287.310806136863,4.117501557373183,1.035803307749968,3.975177069396948,,
2944,1591.702718146796,4.106423283465203,0.9136068356701894,4.494737914753973,6.965568510431754e-06,0.0022224731134185775
105375842,2.7975209312416083,4.106353900167754,1.9211544658365547,2.1374407801090936,,
28874,2074.3405414319413,4.092215534506573,1.050162349747518,3.896745617942245,9.749392760612262e-05,0.008861959362599656
6588,3.9272863039225827,4.089941551868757,1.493716567529761,2.7380974682717167,0.006179575827026029,
353288,3.498971007516674,4.083032736012221,2.6890112405614275,1.5184141570043201,,
8807,152.99652615790095,4.072185692177849,0.9928125208409443,4.101666333467044,,
442185,2.6379861593012754,4.057771152198946,2.0312775928694085,1.9976448154813182,,
5313,43.97131667377191,4.056863754564274,1.020817900039283,3.974130698930885,,
102465508,15.874977860506572,4.0559921879231675,1.1582859785878568,3.5017191461370327,,
339145,82.94982885251403,4.033274851163515,1.2308358281523872,3.2768585045317384,,
6368,52.4724078736573,4.0248849491443695,0.8817994324156778,4.564399568865961,,
3690,2888.896605818416,4.018279866207466,0.8577936437717614,4.6844365138203745,,
56911,538.5294787374323,4.008825529759033,0.8492436799157894,4.720465544302368,,
64805,111.32653188621147,4.002111906102532,0.7388137208007237,5.416943125751721,6.062661500140934e-08,0.00013110842308582555
100128327,14.581135956140036,4.00024614166532,1.1811137498560431,3.38684241221718,,
28804,300.34654880420123,3.987588792804397,1.0790032056694856,3.695622748711141,0.00021934847218187378,0.013913627007543707
30835,2265.757031020948,3.9847961105634817,0.8878688271159773,4.4880459690280015,,
5577,810.053868197455,3.9823137371928015,0.859770442772008,4.631833730354025,,
90011,31.156186929919276,3.9759138761671258,1.2280040087316146,3.2377043135826424,,
2162,14790.750312510112,3.975661411678832,0.9115427657381586,4.361464498551946,1.2919476146124322e-05,0.0032656073276885415
