,log2FC
752,2.149344627448871
951,2.1480532947353908
55911,2.145808367856853
80709,2.1435109423971017
1230,2.1433332613354583
3101,2.14200495278671
105378083,2.139896556069856
3042,2.1363677629121365
28474,2.13514790579805
11314,2.1339700216700255
6977,2.1318030032171587
28938,2.1297949081312577
3381,2.1296960980453825
23569,2.129068966185677
6357,2.12897201317168
390732,2.124874087096877
713,2.1230137165670193
100132612,2.121017372318729
50615,2.120286390313524
28505,2.1197167879051557
10990,2.1193082981395044
5450,2.11524430343641
8477,2.115163479193594
199,2.114634481896835
4050,2.1145349570549365
7356,2.11249179015055
64499,2.1094344851361866
3821,2.1091301288640514
28743,2.1066607395742425
6982,2.1050384294600617
409,2.104083914420359
4353,2.1040535817220443
923,2.102956624381103
29909,2.1023496731557314
952,2.1014752063819158
3559,2.1008341231044936
4283,2.100800111184258
7412,2.0996118392976726
53347,2.0989609261269218
645784,2.098911388988351
4825,2.0988564218412087
133874,2.09828011305256
10326,2.098089501690602
89858,2.0972369117619127
2014,2.0971163074274504
714,2.092765630676924
924,2.092111289107107
54855,2.0920208057515417
80342,2.0903696982644746
3385,2.0834844394632563
222487,2.081882284081135
58191,2.081727135589624
1536,2.0815961000601995
100131176,2.079624244452137
10409,2.0794076428311907
28802,2.0774831264353364
171558,2.076757260518246
81704,2.076098071824667
2313,2.0760785932124293
1233,2.0727937785662744
84174,2.072645730268005
28448,2.072435623981887
1620,2.071912087098801
2533,2.0694824752805214
10562,2.0691188999918566
83706,2.0671684334338973
28775,2.066976608567936
2354,2.066454621738206
55843,2.0657952795201355
6916,2.064310204635543
2710,2.062355566962246
375704,2.0600742558200658
4317,2.0578854746790194
64174,2.05573748503857
28729,2.053894854046364
28684,2.0526599502924103
28691,2.0505157387395165
6966,2.0484264819804627
4973,2.047606446538019
9473,2.045149289219344
57091,2.0380717168377362
10859,2.0342132906191726
646370,2.0316156145699296
3903,2.0299904891251224
107985040,2.0287613092572503
168537,2.025286924922404
28589,2.0245769346918516
28464,2.019923896881145
9806,2.0193203244226057
2867,2.017504069671171
1438,2.017137652358361
942,2.0169064404783885
55303,2.015083466397635
28442,2.0145675844540936
5577,2.014068971189431
920,2.013493011309558
6515,2.0118883853071043
9956,2.011846822512977
945,2.0118457884583796
284013,2.0112996072790876
729230,2.0111231161802463
55647,2.0099889643381452
6368,2.0087543288721785
91662,2.007205939892798
284194,2.006622309781984
3128,2.005147708090062
105373977,2.003472647150351
58475,2.0026001785036067
643418,2.0024638345606114
81030,1.9995771423247124
1414,1.9979022890432003
106480429,1.9966787325646695
3674,1.9958403230575312
150365,1.9939564522844702
6036,1.9916028395363448
3106,1.9911131613337147
55350,1.990006116581399
10537,1.989963804132933
27036,1.9898435834458423
3111,1.989823682694417
3568,1.989477133837342
28592,1.9879221525937028
2350,1.9855193424352722
3932,1.9844917217884612
28774,1.9836471214280662
3071,1.9835516080592104
1521,1.9833310868161318
10581,1.9830842460028713
1755,1.9829242352969167
6974,1.980263218695395
6979,1.980225048187044
284759,1.9801720884483602
11040,1.9776248221051587
28722,1.9772167480199374
6956,1.9764346143930773
5724,1.974646364782176
3804,1.9708034772292824
8302,1.9702760587933659
8832,1.9694858186181037
286530,1.9676002541913844
342667,1.9661660834740844
3108,1.965832829947514
2672,1.9630504400881428
2038,1.9625607120240698
2919,1.9624379519834712
2995,1.9608980953215003
54,1.960088900544756
64231,1.9595262721264213
1436,1.9591056393545188
3004,1.9572521070768936
9938,1.9572114566929883
22797,1.9562635539253437
9840,1.9560913555346628
28672,1.9511364039850947
147138,1.9501082862045376
7097,1.94799506287581
28750,1.9471007175296877
170371,1.9459263447092683
5294,1.9437815033260897
28428,1.9412553999569333
165631,1.9410827052647406
3394,1.9408891116362064
51338,1.9380136107658306
100527949,1.937962357976522
55340,1.9375829403248845
5742,1.9349127369882648
1089,1.9335921227105985
5142,1.9314662779787488
3512,1.9310968026722097
124460,1.930947301478561
28616,1.9301217542481135
3133,1.9299245313701228
9744,1.9278560258194943
388255,1.9252451010228202
165904,1.9246517126598999
28719,1.9236421368767314
100129083,1.9227645894805683
9452,1.9225404628281284
100506736,1.9206878929949527
642131,1.920575961088944
9034,1.9173593733708065
89790,1.916388441166693
29895,1.9147150553445331
28902,1.9133148522862298
199675,1.9106133967480936
9214,1.9103709513122897
9573,1.9099516909027447
343413,1.9092578806142857
79930,1.9090139589599593
285533,1.9087146178281422
28628,1.9071475796745139
10871,1.9040166157674525
389634,1.9028154273271491
3635,1.9017504141060737
