,log2FC,pval,neg_log10_pval
101927479,-0.7754286999737179,0.4341035782012405,0.3624066342716931
128272,-0.8728277719718962,0.22786264956692087,0.642326856798234
101927546,-0.6949443988301356,0.36069539912772475,0.44285939719578904
79363,-0.5254414545882229,0.3299880607864402,0.4815017728037372
54455,-0.020408454151231936,0.9175038869601916,0.03739208715738139
26099,-0.08063062249159536,0.7299909276040218,0.13668253723922189
374955,-0.18663553909486374,0.5959249505923692,0.22480843078402665
55707,0.7780118651588452,0.13092915760578322,0.8829636260191145
107984921,0.09762747750046818,0.8994219842951042,0.04603650126352442
114819,-0.38060113005883167,0.5204620078911708,0.2836109670602439
26871,-2.2401394689884775,0.016535942837129218,1.7815710350583602
107985757,-0.09090909090909091,0.3678794411714422,0.43429448178519847
100132147,-0.41863050861301176,0.5024839996447185,0.2988777626302794
107985758,-0.16363636363636364,0.5214107580109597,0.2828200124081478
55672,-0.5337675006627052,0.35975615251146964,0.4439917699490735
105376794,-0.16075605415828687,0.6435889308594754,0.19139143390886743
84809,0.27680157144531936,0.3860693340610115,0.41333469341239804
11209,-0.12351007777658651,0.7663060559627091,0.11559774223109426
107985736,-0.33708328987462477,0.5119682441739227,0.2907569760638396
26869,-2.212238146646621,0.01753686211384707,1.7560481102354906
284729,-1.8088910339039295,0.19208983822431042,0.7164956089873761
6060,-3.1179823779018987,0.006635594102395464,2.178120180973344
11223,-0.5462602230427915,0.4586998556104801,0.33847139648051394
100500876,-0.14408750006555965,0.36787944117144233,0.4342944817851983
100189298,-0.09090909090909091,0.3678794411714422,0.43429448178519847
112267871,-0.16306765208323482,0.7976535243871864,0.09818571150494722
7193,-0.2727272727272727,0.14420899562475226,0.8410076475793801
105376805,-0.8060264665699646,0.24223522295729738,0.6157627064976889
791226,-0.18181818181818182,0.22521225069901218,0.6474079889996446
26870,-3.0594473791112238,0.010117860571589886,1.994911305356025
9696,-0.1609177939761306,0.7853545128219771,0.10493425631116027
4237,0.04746490558795635,0.9405853676115971,0.026601781672800914
105376806,0.20213407282614693,0.7747982070680681,0.11081139288054144
23400,0.051821339235704755,0.9042400906917304,0.04371624180112473
6390,-0.006157150811930023,0.9821478202447492,0.007823142835558607
11240,1.1051355459864194,0.42781101595972976,0.3687480366126533
400743,-0.3454545454545454,0.3678794411714424,0.43429448178519825
29943,-1.6720714594118018,0.3632393703566464,0.43980708568669946
51702,-0.24226000786850843,0.8647975510018858,0.06308554887024512
100616188,-0.09090909090909091,0.3678794411714422,0.43429448178519847
23569,2.129068966185677,0.3011381781139251,0.5212341812638894
353238,0.4086510021095979,0.5614351474317861,0.25070040270745925
55920,-0.5307076186379724,0.26062437999623683,0.5839849606648199
55160,0.42454453650583623,0.49886068410924805,0.30202072196539503
107984028,-0.14408750006555965,0.36787944117144233,0.4342944817851983
81569,-0.6294147232779103,0.4396532359595822,0.35688972587754836
105376809,-0.09090909090909091,0.3678794411714422,0.43429448178519847
105376812,-0.18181818181818182,0.3678794411714422,0.43429448178519847
84966,0.7071624492105153,0.37818469911067815,0.42229604604305154
105376814,-0.5208439106313605,0.271404413334571,0.5663830943524206
127707,-0.6411163837592944,0.6355587814636116,0.19684427622226675
5081,-1.1753557740574143,0.3423115138293336,0.4655784927643234
80834,-0.3872515157867369,0.6931183764992683,0.1591925865808971
8659,-0.09794264793903018,0.8127326624453562,0.09005228623194998
100616120,-0.2346411362718529,0.607128894394298,0.21671909768080372
100302276,-0.4978923270046208,0.2530259054138082,0.5968350122402186
126917,0.07079268627338564,0.8512675377547055,0.06993392763121271
105376815,0.1090909090909091,0.6086185676698179,0.21565480229503003
23352,-0.1024893160409075,0.5740853687004475,0.24102352146577408
101927895,-0.2869768616528239,0.39696230996440607,0.4012507257509641
23065,-0.3368610079073804,0.426485332641872,0.37009590006223114
51154,-0.5804569855489223,0.2675839495017428,0.5725399402631414
246181,-0.9787125138916544,0.11043435634747704,0.9568957953173096
22977,-1.0791331141705536,0.1257813031231423,0.9003839098484688
100506730,-0.32136678251712736,0.5650852352960106,0.24788603984386154
8574,-0.18071001054256186,0.5807291638369475,0.23602636336077262
54896,0.07500085875430429,0.8365312168260758,0.07751784778494207
832,0.5042234218039923,0.0724620466533719,1.1398894031038374
105376819,0.18318522720716762,0.5479668503649443,0.26124571358791226
105376818,0.1090909090909091,0.6086185676698179,0.21565480229503003
